id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
113,6/30/16 19:18,30,2,1680,7,1,32826.65,,7371,1871.5,7845.38,1871.5
114,6/30/16 19:30,29,3,1500,8,1,20757.51,,15009.5,7159.5,8719.82,7159.5
115,6/30/16 19:45,28,4,2100,6,2,23048.11,,20494.5,6930,14671.7,6930
116,6/30/16 19:53,30,3,1680,7,1,17393.97,,12823,5511,14148.4,5511
117,6/30/16 20:05,29,4,1750,8,1,22402.13,,13649,5375,7723.6,5375
118,6/30/16 20:15,32,1,1400,4,3,65189.53,,17369,7378.5,35868.1,7378.5
119,6/30/16 20:20,28,5,1200,6,2,8401.7,,13493.5,5610,7426,5610
120,6/30/16 20:28,30,4,1000,7,1,20808.45,,26786.6,9331.29,12769.1,9331.29
121,6/30/16 20:40,29,5,1500,8,1,23329.14,,22298,9093.5,21083.2,9093.5
122,6/30/16 20:45,32,2,1400,4,3,22435.98,,21478.8,10092.8,22548.6,10092.8
123,6/30/16 20:57,28,6,1400,6,2,16845.64,,22546.5,9845,19917.1,9845
124,6/30/16 21:05,30,5,1000,7,1,27550.46,,10744.5,3791,9266.94,3791
125,6/30/16 21:15,32,3,1600,4,3,34609.2,,41642.6,16684.7,35946.9,16684.7
126,6/30/16 21:20,29,6,1000,8,1,12881.4,,20479.5,9882,13314.2,9882
127,6/30/16 21:35,28,7,1200,6,2,32002.99,,24254.5,10196.5,21130,10196.5
128,6/30/16 21:42,30,6,1680,7,1,16896.82,,15211,6142.5,11852.6,6142.5
129,6/30/16 21:45,32,4,1000,4,3,28381.32,,32973.8,15112.9,30876.6,15112.9
130,6/30/16 21:55,29,7,1000,8,1,27702.83,,31466.5,12476,25928.6,12476
131,6/30/16 22:12,28,8,1200,6,2,28953.41,,30780.7,12951.5,23174.8,12951.5
132,6/30/16 22:15,32,5,1200,4,3,34951.54,,31415.2,11731.3,32294.9,11731.3
133,6/30/16 22:22,30,7,1350,7,1,10535.21,,14614,7130,15193.4,7130
134,6/30/16 22:35,29,8,1280,8,1,20600.5,,25665,10823,17227.5,10823
135,6/30/16 22:45,32,6,1600,4,3,35427.08,,38494.1,16871.8,42110.2,16871.8
136,6/30/16 23:15,32,7,2200,4,3,36099.99,,47006.9,21349.3,52547.3,21349.3
137,6/30/16 23:45,32,8,1400,4,3,32624.42,,56756.5,23039.7,57549.5,23039.7
138,7/1/16 17:40,36,1,1200,6,2,199398.99,,47579.5,17293,75459.9,17293
139,7/1/16 17:45,37,1,1200,5,1,11445.82,,11984,2176,6520.67,2176
140,7/1/16 18:00,38,2,1900,7,1,103203.87,,68536.5,31616.5,35098.1,31616.5
141,7/1/16 18:03,39,1,1100,5,1,875.16,,3762.5,1647.5,4140.2,1647.5
142,7/1/16 18:07,40,1,1000,7,1,40961.06,,15088.5,3058.5,8681.58,3058.5
143,7/1/16 18:15,36,2,2000,6,2,97725.68,,68589.5,32715,89739.3,32715
144,7/1/16 18:19,37,2,1350,5,1,8207.43,,7906.5,2627,4168.96,2627
145,7/1/16 18:23,41,1,1800,8,2,23765.23,,18458.5,7711.5,15766.9,7711.5
146,7/1/16 18:27,42,1,1300,5,1,1634.83,,5367.5,2517.5,5057.87,2517.5
147,7/1/16 18:31,43,1,1620,3,2,4071.98,,6414.5,2508.5,11392.6,2508.5
148,7/1/16 18:35,38,3,1100,7,1,89081.94,,81648,35491.5,32539.1,35491.5
149,7/1/16 18:38,39,2,1560,5,1,1049.81,,3565.5,1331.5,3142.11,1331.5
150,7/1/16 18:42,40,2,1300,7,1,58897.6,,33562.5,15222,19465,15222
151,7/1/16 18:46,44,1,1200,6,1,1702.52,,8628.5,2995.5,3644.6,2995.5
152,7/1/16 18:50,36,3,1700,6,2,82263,,66487.5,32773.6,109313,32773.6
153,7/1/16 18:54,37,3,1150,5,1,13302.39,,12587.5,3377,5543.43,3377
154,7/1/16 18:58,41,2,1050,8,2,31490.89,,21994,7794.5,16559.8,7794.5
155,7/1/16 19:02,42,2,1300,5,1,6345.75,,7892.5,3506.5,6828.71,3506.5
156,7/1/16 19:04,45,1,1100,1,1,250.32,,3410.5,1466.5,1643.5,1466.5
157,7/1/16 19:06,43,2,2000,3,2,2257.18,,3829.5,1538.5,10301,1538.5
158,7/1/16 19:08,46,1,1600,4,1,508.09,,1103.5,203.5,1278.5,203.5
