id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
230,2016-07-01 23:23:00,47,5,1300,9,1,14882.48,,19258.0,5429.5,27779.8,5429.5
231,2016-07-01 23:35:00,46,8,1600,4,1,6188.73,,18537.5,4848.0,16669.5,4848.0
232,2016-07-01 23:40:00,19,6,1200,5,1,44303.25,,35693.0,13014.0,60419.3,13014.0
233,2016-07-02 00:00:00,47,6,1600,9,1,6787.46,,12984.0,3710.5,22296.0,3710.5
234,2016-07-02 00:10:00,46,9,1600,4,1,7884.18,,17143.0,4412.5,13796.1,4412.5
235,2016-07-02 00:15:00,19,7,1300,5,1,27908.09,,33019.0,13295.0,71036.0,13295.0
236,2016-07-02 00:37:00,47,7,1600,9,1,2586.95,,11509.0,3676.0,24892.2,3676.0
237,2016-07-02 00:50:00,19,8,2100,5,1,36088.82,,42942.5,18618.0,85634.4,18618.0
238,2016-07-02 18:05:00,48,1,1120,3,1,4793.67,,6597.0,2279.5,6955.17,2279.5
239,2016-07-02 18:15:00,49,1,1050,7,1,21015.01,,7221.0,1704.5,6941.73,1704.5
240,2016-07-02 18:30:00,50,1,1100,3,1,11715.8,,5928.5,2171.0,5749.15,2171.0
241,2016-07-02 18:35:00,51,1,1200,8,1,18436.04,,13194.5,5844.0,26201.0,5844.0
242,2016-07-02 18:40:00,52,1,1208,8,1,6450.88,,9921.5,4154.0,6103.99,4154.0
243,2016-07-02 18:45:00,48,2,1420,3,1,9767.36,,5038.0,1465.5,5775.47,1465.5
244,2016-07-02 18:50:00,53,1,3480,8,3,27356.58,,6821.5,1220.5,11245.3,1220.5
245,2016-07-02 18:54:00,49,2,1050,7,1,5389.91,,6772.0,2168.5,7208.27,2168.5
246,2016-07-02 19:02:00,54,1,1500,8,1,5745.05,,10630.0,5691.5,6800.45,5691.5
247,2016-07-02 19:06:00,50,2,1300,3,1,4914.3,,5446.0,1989.0,5558.96,1989.0
248,2016-07-02 19:10:00,51,2,1200,8,1,19066.41,,12077.0,5056.5,30979.2,5056.5
249,2016-07-02 19:15:00,52,2,908,8,1,3170.13,,13423.0,4765.0,6759.98,4765.0
250,2016-07-02 19:20:00,48,3,1120,3,1,3896.47,,2911.5,1275.5,5125.17,1275.5
251,2016-07-02 19:30:00,53,2,3480,8,3,23417.2,,8847.5,2855.5,16742.3,2855.5
252,2016-07-02 19:34:00,49,3,1650,7,1,12861.33,,13275.5,4048.5,10430.0,4048.5
253,2016-07-02 19:42:00,54,2,2000,8,1,8594.0,,16346.0,7414.5,7951.56,7414.5
254,2016-07-02 19:46:00,50,3,1550,3,1,2157.28,,6076.0,2409.0,6670.24,2409.0
255,2016-07-02 19:50:00,51,3,2200,8,1,21027.74,,13205.5,5170.5,23718.0,5170.5
256,2016-07-02 19:54:00,52,3,1408,8,1,5046.96,,12155.5,5451.0,5710.89,5451.0
257,2016-07-02 19:58:00,48,4,1620,3,1,9028.72,,5782.0,1929.5,7327.39,1929.5
258,2016-07-02 20:02:00,49,4,1200,7,1,9110.42,,9825.0,3874.5,7135.97,3874.5
259,2016-07-02 20:06:00,55,1,1300,5,2,2681.43,,2984.5,1221.5,8146.83,1221.5
260,2016-07-02 20:10:00,53,3,1100,8,3,28117.28,,11130.5,1947.5,20053.6,1947.5
261,2016-07-02 20:18:00,54,3,1200,8,1,14448.21,,15414.5,7764.0,8149.59,7764.0
262,2016-07-02 20:22:00,50,4,1550,3,1,8105.7,,8220.5,3602.5,8441.95,3602.5
263,2016-07-02 20:30:00,51,4,1400,8,1,21557.41,,20237.5,9474.0,40405.1,9474.0
